"","Mean_Temp_C","World_Clim_Temp_C","Ocean_Temp_C","Species"
"206",15.2,15.2,17.339746528743,"Zenaida macroura"
"207",NA,NA,4.31654935085002,"Thalassarche chrysostoma"
"208",16.6,16.6,26.5774621186753,"Junco phaeonotus"
"209",24.8,24.8,24.9015016747235,"Myiarchus tyrannulus"
"210",1.8,1.8,6.89857935144493,"Passerculus sandwichensis"
"211",-3.8,-3.8,4.29782946152728,"Passerella iliaca"
"212",26.9,26.9,27.1501723046952,"Progne subis"
"213",16.4,16.4,13.1445383492705,"Pica nutalli"
"214",8.4,8.4,10.3673098767611,"Pipilo erythrophthalmus"
"215",-5.2,-5.2,5.48140818234532,"Phylloscopus borealis"
"216",7.1,7.1,11.8642669867463,"Riparia riparia"
"217",10,10,13.9922764600473,"Sitta carolinensis"
"218",17.1,17.1,21.532638610629,"Sitta pusilla"
"219",13.6,13.6,27.7350353237488,"Sporophila torqueola"
"220",2.6,2.6,10.2765877280829,"Sturnus vulgaris"
"221",14,14,18.1582356873716,"Troglodytes troglodytes"
"222",-0.7,-0.7,5.22581284526548,"Turdus migratorius"
"223",15.9,15.9,20.2864874242712,"Zosterops japonicus"
"224",NA,NA,27.5368313023558,"Sturnella magna"
"225",16.1,16.1,26.6902395165332,"Molothrus aeneus"
"226",NA,NA,17.0033162247593,"Morus bassanus"
"227",29.7,29.7,26.0401079893214,"Hydroprogne caspia"
"228",25.5,25.5,22.098785411101,"Laterallus jamaicensis"
"229",10.0015096634333,NA,10.0015096634333,"Podiceps grisegena"
"230",NA,NA,23.0037151776108,"Procellaria parkinsoni"
"231",NA,NA,25.4757145403781,"Puffinus lherminieri"
"232",NA,NA,27.6924636231804,"Puffinus puffinus"
"233",13.6,13.6,15.8510068400891,"Rissa tridactyla"
"234",NA,NA,25.9020893081144,"Sula dactylatra"
"235",23.7,23.7,27.0331138483749,"Sula leucogaster"
"236",NA,NA,25.8731403384029,"Sula sula"
"237",NA,NA,19.1251428916549,"Thalassarche chlororhynchos"
"238",NA,NA,10.8049447984362,"Thalassarche melanophris"
"239",14.052173901223,NA,14.052173901223,"Uria lomvia"
"240",2.2,2.2,9.70054104708156,"Plectrophenax nivalis"
"241",20.2,20.2,25.9362246684191,"Sayornis nigricans"
"242",8.78118145398781,NA,8.78118145398781,"Phalacrocorax penicillatus"
"243",26.2,26.2,28.4247887209977,"Accipiter striatus"
"244",10.7917499728895,-0.4,10.7917499728895,"Aechmophorus occidentalis"
"245",9.3,9.3,11.2501526825247,"Antrostomus vociferus"
"246",12.8,12.8,15.6367052943348,"Passerina cyanea"
"247",NA,NA,26.0985405786268,"Hydrobates leucorhous"
"248",25.8,25.8,26.6902395165332,"Camptostoma imberbe"
"249",16.3,16.3,18.8000145654584,"Cardinalis cardinalis"
"250",18.3,18.3,23.9420016168296,"Cardinalis sinuatus"
"251",13.6,13.6,23.9981271718633,"Spinus psaltria"
"252",7.2,7.2,18.224341789203,"Haemorhous mexicanus"
"253",9.4,9.4,13.7625489451179,"Chondestes grammacus"
"254",16.2,16.2,20.2798752642684,"Corvus ossifragus"
"255",8.8,8.8,10.5606276399699,"Setophaga pinus"
"256",-2.8,-2.8,4.28300847699888,"Setophaga striata"
"257",4.9,4.9,9.19002539107441,"Ficedula hypoleuca"
"258",3.7,3.7,8.49157136724319,"Limosa fedoa"
"259",14.5,14.5,16.9561946850212,"Geothlypis formosa"
"260",17,17,18.8870852135557,"Geothlypis philadelphia"
"261",16.3,16.3,18.9764029538594,"Cardellina canadensis"
"262",13,13,18.051232773162,"Setophaga citrina"
"263",2.6,2.6,10.267060920925,"Mareca strepera"
"264",26.2,26.2,22.9043741852007,"Parabuteo unicinctus"
"265",8.3,8.3,9.80861987985649,"Scolopax minor"
"266",5.2,5.2,11.2053778790167,"Selasphorus calliope"
"267",16.3,16.3,26.5774621186753,"Selasphorus platycercus"
"268",14.7765789710628,NA,14.7765789710628,"Synthliboramphus hypoleucus"
"269",9,9,13.542258190541,"Tympanuchus cupido"
"270",1.8,1.8,6.76436524229696,"Tympanuchus phasianellus"
"271",24.2,24.2,26.3901024833733,"Zenaida asiatica"
"272",-1.5,-1.5,4.79157073759659,"Junco hyemalis"
"273",7.8,7.8,13.2096631061727,"Pica pica"
"274",15.4,15.4,19.1534537869344,"Thryothorus ludovicianus"
"275",-1.2,-1.2,4.90805762598652,"Setophaga coronata"
"276",NA,NA,22.6903733183299,"Phoebastria irrorata"
"277",23.7,23.7,25.9280309881195,"Pterodroma leucoptera"
"278",12.5767655864791,NA,12.5767655864791,"Spheniscus magellanicus"
"279",NA,NA,28.1830561028128,"Thalasseus maximus"
"280",12.9877927113938,NA,12.9877927113938,"Uria aalge"
"281",16.2,16.2,23.0476866327792,"Acridotheres cristatellus"
"282",13.9,13.9,16.4366272102973,"Agelaius phoeniceus"
"283",18.6,18.6,23.9420016168296,"Aimophila ruficeps"
"284",17.5,17.5,23.9676515923846,"Amphispiza bilineata"
"285",22.3,22.3,24.8376782534831,"Aphelocoma coerulescens"
"286",4.2,4.2,12.2124817236094,"Bombycilla garrulus"
"287",5.2,5.2,11.3883236007405,"Calamospiza melanocorys"
"288",13.4,13.4,22.8174296224927,"Cardellina rubrifrons"
"289",18.9,18.9,23.9676515923846,"Campylorhynchus brunneicapillus"
"290",26.8,26.8,25.5660779910676,"Catharus fuscescens"
"291",2.9,2.9,7.91195303133742,"Catharus guttatus"
"292",10,10,12.9679332293954,"Catharus minimus"
"293",NA,NA,11.1540950918426,"Cinclus mexicanus"
"294",8.1,8.1,12.1898854680634,"Contopus sordidulus"
"295",11.4,11.4,13.6827691201427,"Contopus virens"
"296",2,2,10.8261135828952,"Corvus corax"
"297",7.3,7.3,9.45089555089076,"Corvus caurinus"
"298",11.2,11.2,13.6827691201427,"Cyanocitta cristata"
"299",28.2,28.2,28.6124916941802,"Dolichonyx oryzivorus"
"300",8.5,8.5,12.8645237015683,"Dumetella carolinensis"
"301",12.2155261705357,7,12.2155261705357,"Aethia pusilla"
"302",16.6,16.6,26.6882178875305,"Empidonax fulvifrons"
"303",1.1,1.1,7.70604992876695,"Empidonax minimus"
"304",4,4,9.18880995203881,"Euphagus cyanocephalus"
"305",9,9,13.2186983440449,"Empidonax traillii"
"306",14.2,14.2,17.0266835917187,"Empidonax virescens"
"307",-1.1,-1.1,4.67507642630489,"Euphagus carolinus"
"308",7.4,7.4,11.4577268876139,"Geothlypis trichas"
"309",14,14,16.958305462795,"Helmitheros vermivorum"
"310",7.4,7.4,13.1885305100755,"Hirundo rustica"
"311",12.2,12.2,15.8048804147474,"Icteria virens"
"312",20.7,20.7,25.5900523541756,"Icterus cucullatus"
"313",8.2,8.2,12.1299431505045,"Icterus galbula"
"314",16.8,16.8,21.6153847446062,"Icterus parisorum"
"315",20.7,20.7,29.172352274224,"Icterus pectoralis"
"316",11,11,12.6174876937977,"Chaetura pelagica"
"317",17.2,17.2,20.2954415822082,"Lanius ludovicianus"
"318",16.8,16.8,20.3530022361854,"Aythya valisineria"
"319",-6.1,-6.1,6.27556725290525,"Leucosticte arctoa"
"320",-0.6,-0.6,6.15431021939341,"Melospiza georgiana"
"321",0.3,0.3,6.67867202176155,"Melospiza lincolnii"
"322",0.8,0.8,7.14391548917876,"Melospiza melodia"
"323",20.7,20.7,18.3904882139638,"Melozone aberti"
"324",4.5,4.5,9.57364718711344,"Charadrius melodus"
"325",4,4,6.79591507911478,"Mniotilta varia"
"326",6.9,6.9,10.8064552778158,"Molothrus ater"
"327",7.2,7.2,18.224341789203,"Myiarchus cinerascens"
"328",11.2,11.2,13.8145321855358,"Myiarchus crinitus"
"329",3.4,3.4,11.072418059236,"Haematopus ostralegus"
"330",25.8,25.8,25.4644756589815,"Haematopus palliatus"
"331",16.8,16.8,22.8016923034511,"Myioborus pictus"
"332",-2.2,-2.2,4.7022093234596,"Haliaeetus albicilla"
"333",21.8,21.8,23.0843486411512,"Hieraaetus morphnoides"
"334",-0.7,-0.7,5.14879321228374,"Haliaeetus leucocephalus"
"335",25.8,25.8,27.7591431361613,"Hieraaetus wahlbergi"
"336",8.6,8.6,12.2255544339113,"Nucifraga columbiana"
"337",13.4,13.4,15.8951142471197,"Accipiter cooperii"
"338",26,26,28.2328245695518,"Pycnonotus jocosus"
"339",25.6,25.6,25.2587886760714,"Oporornis agilis"
"340",1.5,1.5,8.49262323507722,"Accipiter gentilis"
"341",0,0,6.00690932610854,"Parkesia noveboracensis"
"342",18.5,18.5,20.5276119578994,"Passerina ciris"
"343",14.2,14.2,16.2520502134977,"Parus major"
"344",6.4,6.4,12.2612068516915,"Passerina amoena"
"345",17.6,17.6,19.2247356976489,"Passerina caerulea"
"346",0.8,0.8,7.93404140246349,"Lagopus leucura"
"347",-0.7,-0.7,5.11990003663953,"Perisoreus canadensis"
"348",5.9,5.9,11.9175320822699,"Petrochelidon pyrrhonota"
"349",18.4,18.4,22.8227522233684,"Peucaea aestivalis"
"350",4.8,4.8,13.3606809172648,"Pheucticus melanocephalus"
"351",5.2,5.2,10.1028826287683,"Pheucticus ludovicianus"
"352",-5.5,-5.5,6.8084687220168,"Pinicola enucleator"
"353",18.1,18.1,24.5609200029128,"Pipilo chlorurus"
"354",NA,NA,-0.388285014023449,"Branta bernicla"
"355",13.8,13.8,18.0712952385006,"Setophaga discolor"
"356",3.7,3.7,9.85637062020262,"Piranga ludoviciana"
"357",9.4,9.4,11.2501526825247,"Piranga olivacea"
"358",19.4,19.4,27.4741474994783,"Piranga rubra"
"359",NA,NA,3.38136517863298,"Plectrophenax hyperboreus"
"360",-2.1,-2.1,4.80217065251013,"Branta canadensis"
"361",13.8,13.8,16.337048674776,"Polioptila caerulea"
"362",6.8,6.8,10.8184259598932,"Pooecetes gramineus"
"363",4.8,4.8,10.1028826287683,"Calidris alpina"
"364",28.1,28.1,27.5374777879052,"Calidris fuscicollis"
"365",14.3,14.3,17.0266835917187,"Protonotaria citrea"
"366",16.8,16.8,20.2975135714654,"Limnothlypis swainsonii"
"367",20.2,20.2,23.5734884348293,"Quiscalus major"
"368",21.6,21.6,24.8311168474851,"Quiscalus mexicanus"
"369",3.9,3.9,8.86170530282011,"Quiscalus quiscula"
"370",14.3,14.3,16.8385295567678,"Regulus satrapa"
"371",-0.2,-0.2,6.25927126754992,"Regulus calendula"
"372",1.4,1.4,11.2497263906124,"Spizella breweri"
"373",7.3,7.3,11.4577268876139,"Calidris minutilla"
"374",2.1,2.1,6.84853517767684,"Calidris ptilocnemis"
