"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"109","Mammal","Cervus elaphus",39060,38,0.127,128
"110","Mammal","Cervus elaphus",39060,38,0.094,128
"111","Mammal","Cervus elaphus",54440,38,0.127,128
"112","Mammal","Cervus elaphus",54440,38,0.094,128
"113","Mammal","Chinchilla lanigera",121.2,38,0.256,128
"114","Mammal","Chinchilla lanigera",121.2,38,0.226,128
"115","Mammal","Chiropotes albinasus",725,38,0.149,128
"116","Mammal","Chiropotes satanas",750,38,0.141,128
"117","Mammal","Civettictis civetta",3000,38,0.169,128
"118","Mammal","Coendou prehensilis",1100,38,0.149,128
"119","Mammal","Colobus polykomos",2459,38,0.097,128
"120","Mammal","Colobus polykomos",2459,38,0.083,128
"121","Mammal","Cricetus cricetus",125,38,0.667,128
"122","Mammal","Crocidura leucodon",2.455,38,0.909,128
"123","Mammal","Crocidura russula",1.6,38,0.847,128
"124","Mammal","Crocuta crocuta",15750,38,0.101,128
"125","Mammal","Ctenomys talarum",33.08,38,0.909,128
"126","Mammal","Cystophora cristata",50000,38,0.074,128
"127","Mammal","Cystophora cristata",50000,38,0.072,128
"128","Mammal","Cystophora cristata",50000,38,0.072,128
"129","Mammal","Dactylopsila trivirgata",105.8,38,0.526,128
"130","Mammal","Dama dama",12130,38,0.101,128
"131","Mammal","Damaliscus lunatus",24500,38,0.182,3
"132","Mammal","Damaliscus lunatus",24500,38,0.166,3
"133","Mammal","Dasycercus cristicauda",25,38,0.435,128
"134","Mammal","Dasyprocta punctata",668.7,38,0.256,128
"135","Mammal","Dasyprocta punctata",668.7,38,0.256,128
"136","Mammal","Dasypus novemcinctus",1051,38,0.169,128
"137","Mammal","Dasypus novemcinctus",1051,38,0.169,128
"138","Mammal","Dasyurus viverrinus",272.5,38,0.526,128
"139","Mammal","Delanymys brooksi",1.25,38,1.429,128
"140","Mammal","Delphinapterus leucas",350000,38,0.147,128
"141","Mammal","Delphinapterus leucas",350000,38,0.084,128
"142","Mammal","Delphinapterus leucas",350000,38,0.063,128
"143","Mammal","Delphinus delphis",16250,38,0.127,128
"144","Mammal","Dendrohyrax arboreus",737.5,38,0.256,128
"145","Mammal","Dendrolagus matschiei",1740,38,0.323,128
"146","Mammal","Dicerorhinus sumatrensis",350000,38,0.079,128
"147","Mammal","Dicerorhinus sumatrensis",350000,38,0.072,128
"148","Mammal","Diceros bicornis",295100,38,0.063,128
"149","Mammal","Dugong dugon",105000,38,0.046,128
"150","Mammal","Dugong dugon",105000,38,0.046,128
"151","Mammal","Dugong dugon",105000,38,0.036,128
"152","Mammal","Echinops telfairi",45,38,2.632,128
"153","Mammal","Elaphurus davidianus",43750,38,0.141,128
"154","Mammal","Elaphurus davidianus",43750,38,0.108,128
"155","Mammal","Elephantulus myurus",13.1,38,2.941,128
"156","Mammal","Elephantulus rufescens",9.375,38,0.435,128
"157","Mammal","Elephas maximus",1250000,38,0.063,128
"158","Mammal","Elephas maximus",1250000,38,0.042,128
"159","Mammal","Elephas maximus",1250000,38,0.036,128
"160","Mammal","Elephas maximus",1250000,38,0.032,128
"161","Mammal","Enhydra lutris",7500,38,0.11,128
"162","Mammal","Enhydra lutris",7500,38,0.084,128
"163","Mammal","Equus africanus",41250,38,0.127,128
"164","Mammal","Equus africanus",81250,38,0.127,128
"165","Mammal","Equus quagga",59430,38,0.057,3
"166","Mammal","Equus quagga",59430,38,0.057,3
"167","Mammal","Equus ferus",62500,38,0.04,128
"168","Mammal","Equus grevyi",102000,38,0.127,128
"169","Mammal","Equus hemionus",57500,38,0.127,128
"170","Mammal","Equus zebra",71750,38,0.127,128
"171","Mammal","Equus zebra",71750,38,0.105,128
"172","Mammal","Erethizon dorsatum",1771,38,0.149,128
"173","Mammal","Erethizon dorsatum",1771,38,0.141,128
"174","Mammal","Erignathus barbatus",75000,38,0.101,128
"175","Mammal","Erignathus barbatus",75000,38,0.081,128
"176","Mammal","Erignathus barbatus",75000,38,0.081,128
"177","Mammal","Erinaceus europaeus",205.8,38,0.37,128
"178","Mammal","Erinaceus europaeus",205.8,38,0.323,128
"179","Mammal","Erinaceus europaeus",205.8,38,0.182,128
"180","Mammal","Erythrocebus patas",1817,38,0.12,128
"181","Mammal","Eschrichtius robustus",7500000,38,0.036,128
"182","Mammal","Eschrichtius robustus",7500000,38,0.033,128
"183","Mammal","Eumetopias jubatus",150000,38,0.11,128
