original.publication.short,setting,ecosystem.type,dimensionality,arena.size,experimental.duration.seconds,temperature.degree.celcius,predator.species,predator.met.group,predator.ana.group,consumption.type,predation.strategy,predator.mass.mg,prey.species,prey.mass.mg,attack.rate,handling.time,Starvation.Y.N,Starvation.time.seconds,original.publication.full,from.meta.study
Bergstrom.2004.JAnimEcol,lab,marine,3D,0.0011,3600,17,Neomysis integer,invert,invertebrate,carnivore,predator,9.1871,Polyphemus pediculus,0.0189581,0.000000172222206722225,8545.15943264362,Y,43200,"Bergstrom, U. & Englund, G., (2004): Spatial scale, heterogeneity and functional response; Journal of Animal Ecology 73: 487-493",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,140407,Menidia menidia,10086.7,0.000196087485968028,0.0546779685736822,Y,86400,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,25964.2,Menidia menidia,2002.39,0.000411334040421896,0.447125320667795,Y,43200,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,136734,Morone saxatilis,10354.6,0.000403310264821186,0.159650720796961,Y,86400,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,29983.8,Morone saxatilis,1777.24,0.000352473013183491,0.301208864766194,Y,43200,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,18,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Ceriodaphnia dubia,0.003775,0.00000000197917377385628,1826409.87769948,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.195856,Ceriodaphnia dubia,0.003775,0.00000000620368831456628,1478529.07795415,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Ceriodaphnia dubia,0.003775,0.00000000476851507603078,645425.415058562,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Ceriodaphnia dubia,0.003775,0.00000000111111141319123,3240858.72450269,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Ceriodaphnia dubia,0.003775,0.00000000211805733091007,1453350.06090808,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Ceriodaphnia dubia,0.003775,0.00000000185185286162973,1950007.08340073,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Ceriodaphnia dubia,0.003775,0.00000000278935106246573,1295427.44231551,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Ceriodaphnia dubia,0.003775,0.00000000218170622792967,1611278.69304674,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,18,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Ceriodaphnia dubia,0.003775,0.00000000454861232286148,677467.577417946,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Ceriodaphnia dubia,0.003775,0.00000000637730696689539,480636.096881145,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Ceriodaphnia dubia,0.003775,0.00000000871528965740441,1405286.18776176,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Chydorus sphaericus,0.00368766,0.00000000928238370392042,267096.116752,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Chydorus sphaericus,0.00368766,0.00000000270832058229481,2357015.85792962,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Chydorus sphaericus,0.00368766,0.00000000428241758241758,2108651.36705627,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Chydorus sphaericus,0.00368766,0.00000000931713478518211,1775958.62556521,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Chydorus sphaericus,0.00368766,0.00000000600695637714096,417044.878734728,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Chydorus sphaericus,0.00368766,0.00000000365739582514302,1766587.23961123,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Chydorus sphaericus,0.00368766,0.00000000431712004855556,529506.693563908,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Chydorus sphaericus,0.00368766,0.00000000348379432349371,670083.309746776,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.195856,Chydorus sphaericus,0.00368766,0.00000000528936205605922,1705662.00871028,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Chydorus sphaericus,0.00368766,0.00000000347106993866679,2624101.74622415,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.195856,Chydorus sphaericus,0.00368766,0.00000000540510437202417,1785324.1762501,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Chydorus sphaericus,0.00368766,0.00000000600695326097009,379557.777328827,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.0360006,0.00000000983795491063294,584630.494280059,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.0360006,0.00000000873844696809545,134397.691225715,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.0640621,0.0000000076967909834849,100342.321355333,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.0360006,0.0000000192360877231214,71518.7615155068,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.195856,Daphnia carinata,0.0360006,0.00000000638888106887679,244796.598448332,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.0360006,0.00000000155902784378082,376313.972413583,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.0360006,0.0000000033796402889903,199196.216645254,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.195856,Daphnia carinata,0.0360006,0.00000000245370431312505,392153.279589833,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.129858,0.00000000917821622384959,42315.8292972804,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.220127,0.00000000590275201218939,38072.6792858115,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.129858,0.00000000872683925727344,43646.4584330554,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.220127,0.00000000650463464547972,186830.188909166,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.220127,0.00000000559026497158321,36110.1076458251,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.0360006,0.0000000016550942864158,407993.132223274,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,10,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.0360006,0.000000000856481490423151,626389.7211311,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.0360006,0.0000000197800819595983,72478.8839117612,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,15,Piona exigua,invert,invertebrate,carnivore,predator,0.0676984,Daphnia carinata,0.129858,0.00000000236111293657333,164871.856159052,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,22,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.220127,0.00000000802083656733298,25120.0314765851,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
Butler.1993.Oikos,lab,freshwater,3D,0.0015,86400,18,Piona exigua,invert,invertebrate,carnivore,predator,0.382959,Daphnia carinata,0.220127,0.00000000748843971213638,27475.034427515,N,0,"Butler, M.I. & Burns, C.W. (1993): Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses; Oikos 66; 5-16",Rall.2012.Phil.Trans.R.Soc.B
